Comment,Designator,Footprint,LCSC
Mounting_Hole,MK1,MountingHole_3.2mm_M3,
Mounting_Hole,MK2,MountingHole_3.2mm_M3_ISO7380,
Mounting_Hole,MK3,MountingHole_3.2mm_M3_ISO7380,
Mounting_Hole,MK4,MountingHole_3.2mm_M3_ISO7380,
10k,R6,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
1n,C6,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
100k,R2,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
1u,C7,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
TestPoint,TP2,TestPoint_Pad_1.5x1.5mm,
BC807,Q2,SOT-23,
10u,C1,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
TestPoint,TP3,TestPoint_Pad_1.5x1.5mm,
150u,C4,CP_Radial_D6.3mm_P2.50mm,
47k,R8,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
10n,C8,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
4k7,R4,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
BC817,Q1,SOT-23,
SolderPad,J3,SolderWirePad_1x01_SMD_5x10mm,
2k2,R7,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
10n,C10,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
10n,C3,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
GND_{In},J2,SolderWirePad_1x01_SMD_5x10mm,
1N62xxA,D2,D_DO-201AE_P15.24mm_Horizontal,
V_{In},J1,SolderWirePad_1x01_SMD_5x10mm,
SolderPad,J4,SolderWirePad_1x01_SMD_5x10mm,
100k,R1,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
100k,RV1,PinHeader_1x03_P2.54mm_Vertical_SMD_Pin1Left,
TLV2372,U1,SOIC-8_3.9x4.9mm_P1.27mm,
1u,C2,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
15p,C11,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
BUK7880-55A,Q3,SOT-223-3_TabPin2,
1u,C5,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
TestPoint,TP1,TestPoint_Pad_1.5x1.5mm,
TestPoint,TP4,TestPoint_Pad_1.5x1.5mm,
LM393,U2,SOIC-8_3.9x4.9mm_P1.27mm,
68k,R5,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
100k,R3,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
1N5820,D1,D_DO-201AD_P15.24mm_Horizontal,
1u,C9,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
TestPoint,TP5,TestPoint_Pad_1.5x1.5mm,
