Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,82.502,-104.572,-90.0,top
C2,1u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,87.836,-104.572,-90.0,top
C3,10n,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,93.424,-104.572,-90.0,top
C4,150u,CP_Radial_D6.3mm_P2.50mm,106.886,-95.174,0.0,top
C5,1u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,96.98,-92.126,180.0,top
C6,1n,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,127.271,-116.891,90.0,top
C7,1u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,123.461,-108.763,90.0,top
C8,10n,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,127.271,-111.811,0.0,top
C9,1u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,102.6065,-112.192,90.0,top
C10,10n,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,106.378,-114.986,0.0,top
C11,15p,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,93.678,-114.732,180.0,top
D1,1N5820,D_DO-201AD_P15.24mm_Horizontal,99.012,-86.538,180.0,top
D2,1N62xxA,D_DO-201AE_P15.24mm_Horizontal,104.854,-86.538,0.0,top
Q1,BC817,SOT-23,99.52,-130.226,0.0,top
Q2,BC807,SOT-23,94.444,-129.21,0.0,top
Q3,BUK7880-55A,SOT-223-3_TabPin2,108.41,-134.29,0.0,top
R1,100k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,95.202,-98.73,-90.0,top
R2,100k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,98.504,-104.572,-90.0,top
R3,100k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,114.317,-114.097,90.0,top
R4,4k7,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,122.888,-120.955,0.0,top
R5,68k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,122.888,-126.289,0.0,top
R6,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,97.488,-112.192,-90.0,top
R7,2k2,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,93.424,-120.32,-90.0,top
R8,47k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,83.772,-129.464,180.0,top
RV1,100k,PinHeader_1x03_P2.54mm_Vertical_SMD_Pin1Left,85.042,-114.986,90.0,top
U1,TLV2372,SOIC-8_3.9x4.9mm_P1.27mm,120.921,-114.097,0.0,top
U2,LM393,SOIC-8_3.9x4.9mm_P1.27mm,100.0665,-117.526,0.0,top
